Time (min),Temperature (°C),Weight (mg),Heat Flow (mW),Temperature Difference (°C),Temperature Difference (µV),Sample Purge Flow (mL/min),Deriv. Weight (%/°C),Deriv. Heat Flow (W/(g·°C))
0.002266666,33.09221,9.855736,-4.570933,-0.2198878,-1.425526,100.012,0.001620227,0.01046865
0.004333333,33.09054,9.855806,-4.571078,-0.21991,-1.425655,100.013,0.001620244,0.01046885
0.01266666,33.08694,9.8558,-4.571132,-0.2199178,-1.425703,100.0131,0.00162028,0.01046929
0.021,33.08136,9.855816,-4.5711,-0.219914,-1.425676,99.96358,0.001620337,0.01046997
0.02933333,33.0775,9.855811,-4.57116,-0.2199232,-1.425729,100.0191,0.001620376,0.01047043
0.03766667,33.07962,9.855838,-4.57096,-0.2198972,-1.425554,100.0221,0.001620355,0.01047018
0.046,33.07069,9.855897,-4.570846,-0.2198835,-1.425456,100.021,0.001620446,0.01047126
0.05433334,33.06765,9.855936,-4.570414,-0.2198272,-1.42508,99.95499,0.001620476,0.01047162
0.06266666,33.07109,9.855951,-4.570237,-0.2198053,-1.424926,100.0239,0.001620442,0.01047121
0.071,33.06444,9.855966,-4.569956,-0.2197695,-1.424681,99.98811,0.001620509,0.01047201
0.07933334,33.06427,9.856005,-4.5698,-0.2197511,-1.424547,100.0199,0.00162051,0.01047203
0.08766666,33.06274,9.85607,-4.569513,-0.219715,-1.424297,100.0298,0.001620526,0.01047222
0.096,33.0563,9.856109,-4.569286,-0.2196869,-1.4241,100.006,0.001620591,0.01047299
0.1043333,33.05015,9.856129,-4.569129,-0.2196689,-1.423965,99.97732,0.001620653,0.01047373
0.1126666,33.04972,9.856168,-4.568859,-0.2196349,-1.42373,99.99422,0.001620658,0.01047378
0.121,33.04694,9.856188,-4.568729,-0.2196204,-1.423618,100.015,0.001620686,0.01047411
0.1293333,33.04458,9.856206,-4.56853,-0.2195963,-1.423446,99.94978,0.00162071,0.01047439
0.1376667,33.04972,9.856222,-4.568647,-0.2196141,-1.423551,100.0023,0.001620658,0.01047378
0.146,33.04567,9.856269,-4.568266,-0.2195648,-1.423218,100.0432,0.001620698,0.01047427
0.1543334,33.04375,9.856314,-4.567876,-0.2195142,-1.422878,99.95949,0.001620718,0.01047449
0.1626666,33.04469,9.856349,-4.567214,-0.2194266,-1.422299,100.0038,0.001620708,0.01047438
0.171,33.03872,9.856352,-4.566452,-0.2193256,-1.421633,100.0027,0.001620769,0.0104751
0.1793333,33.04321,9.856334,-4.565502,-0.219199,-1.420802,99.97981,0.001620723,0.01047456
0.1876666,33.04294,9.85633,-4.56451,-0.2190657,-1.419932,100.0031,0.001620726,0.01047459
0.196,33.04925,9.856314,-4.563593,-0.2189422,-1.41913,100.0014,0.001620662,0.01047384
0.2043333,33.05188,9.856312,-4.56256,-0.218802,-1.418223,99.99501,0.001620636,0.01047352
0.2126666,33.05203,9.856286,-4.561344,-0.2186372,-1.417158,100.0049,0.001620634,0.0104735
0.221,33.05438,9.856274,-4.560116,-0.2184706,-1.416081,100.0014,0.001620611,0.01047322
0.2293333,33.06089,9.856245,-4.558897,-0.2183046,-1.415012,99.98738,0.001620544,0.01047244
0.2376666,33.05896,9.85622,-4.557461,-0.218109,-1.413751,99.9768,0.001620564,0.01047267
0.246,33.06112,9.856151,-4.555941,-0.2179019,-1.412418,100.0398,0.001620542,0.01047241
0.2543334,33.06669,9.856084,-4.554382,-0.2176889,-1.41105,100.019,0.001620486,0.01047174
0.2626667,33.07468,9.856078,-4.552696,-0.217458,-1.409569,99.97906,0.001620405,0.01047077
0.271,33.07138,9.856051,-4.551016,-0.2172278,-1.408095,100.0272,0.001620438,0.01047117
0.2793333,33.07996,9.856007,-4.548862,-0.2169338,-1.406205,99.98184,0.001620351,0.01047013
0.2876667,33.08688,9.855981,-4.546918,-0.2166678,-1.404498,100.0197,0.001620281,0.0104693
0.296,33.08753,9.855976,-4.54469,-0.2163628,-1.402542,100.0146,0.001620274,0.01046922
0.3043333,33.09725,9.855949,-4.541963,-0.2159906,-1.40015,99.95356,0.001620175,0.01046804
0.3126666,33.10185,9.855918,-4.539283,-0.2156245,-1.397798,100.0264,0.001620128,0.01046747
0.321,33.11256,9.855908,-4.53671,-0.2152718,-1.395538,100.0109,0.001620019,0.01046616
0.3293334,33.12105,9.855918,-4.534068,-0.2149092,-1.393218,99.9712,0.001619932,0.01046512
0.3376666,33.12501,9.855949,-4.531372,-0.2145392,-1.390851,100.0003,0.001598822,0.01034775
0.346,33.13058,9.855941,-4.528612,-0.2141606,-1.388427,99.96455,0.001598637,0.01034711
0.3543334,33.14324,9.85592,-4.525482,-0.2137314,-1.38568,100.0318,0.001598214,0.01034566
0.3626666,33.15096,9.855972,-4.522519,-0.2133239,-1.383076,100.0124,0.001597954,0.01034477
0.371,33.16218,9.855988,-4.518988,-0.2128398,-1.379976,99.98641,0.001597576,0.01034347
0.3793334,33.17938,9.856028,-4.51542,-0.2123496,-1.376842,99.99957,0.001596992,0.01034147
0.3876666,33.19015,9.856068,-4.51207,-0.2118879,-1.373898,100.0329,0.001596625,0.01034021
0.396,33.1991,9.856114,-4.508873,-0.2114469,-1.371089,99.99722,0.001596318,0.01033916
