Time (min),Temperature (°C),Weight (mg),Heat Flow (mW),Temperature Difference (°C),Temperature Difference (µV),Sample Purge Flow (mL/min),Deriv. Weight (%/°C),Deriv. Heat Flow (W/(g·°C))
0.01266666,24.80184,8.615922,-4.506602,-0.2191676,-1.375399,100.0208,0.007798051,0.01005204
0.021,24.80294,8.615859,-4.50708,-0.2192345,-1.375817,99.99311,0.00779798,0.01005194
0.02933333,24.80401,8.615808,-4.507735,-0.2193264,-1.376392,100.0099,0.007797911,0.01005184
0.03766667,24.79833,8.615774,-4.508408,-0.2194209,-1.376982,99.98003,0.007798278,0.01005234
0.046,24.80504,8.615738,-4.509272,-0.2195419,-1.377739,100.0172,0.007797844,0.01005175
0.05433334,24.80056,8.615711,-4.51034,-0.2196916,-1.378676,99.97902,0.007798134,0.01005215
0.06266666,24.80154,8.615661,-4.511731,-0.2198864,-1.379896,100.0234,0.007798071,0.01005206
0.071,24.80048,8.615639,-4.513224,-0.2200954,-1.381205,100.0046,0.007798139,0.01005216
0.07933334,24.80049,8.615601,-4.515022,-0.220347,-1.38278,99.9938,0.007798138,0.01005216
0.08766666,24.80098,8.615579,-4.51709,-0.2206364,-1.384593,99.99474,0.007798106,0.01005211
0.096,24.79484,8.615578,-4.519241,-0.220937,-1.38648,100.01,0.0077985,0.01005266
0.1043333,24.79845,8.615549,-4.521344,-0.2212315,-1.388324,99.99147,0.00779827,0.01005234
0.1126666,24.7895,8.615509,-4.523632,-0.2215523,-1.39033,100.0569,0.007798844,0.01005313
0.121,24.7951,8.615472,-4.526074,-0.2218941,-1.392472,99.96119,0.007798486,0.01005263
0.1293333,24.79115,8.615426,-4.528553,-0.2222412,-1.394644,100.028,0.007798738,0.01005298
0.1376667,24.79512,8.615375,-4.530984,-0.2225816,-1.396776,99.95142,0.007798484,0.01005263
0.146,24.79151,8.615328,-4.533246,-0.2228984,-1.398759,100.0112,0.007798716,0.01005295
0.1543334,24.79153,8.615266,-4.53566,-0.2232364,-1.400874,99.99024,0.007798713,0.01005295
0.1626666,24.78948,8.615209,-4.538048,-0.223571,-1.40297,100.0086,0.007798845,0.01005313
